ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
296	Recap	1e5	1000	2	0.5	10
297	Recap	1e5	500	1	0.5	10
298	Recap	1e5	500	2	0.5	10
299	Recap	1e5	100	1	0.5	10
300	Recap	1e5	100	2	0.5	10
301	5	1e5	1000	1	0.5	11
302	5	1e5	1000	2	0.5	11
303	5	1e5	500	1	0.5	11
304	5	1e5	500	2	0.5	11
305	5	1e5	100	1	0.5	11
306	5	1e5	100	2	0.5	11
307	10	1e5	1000	1	0.5	11
308	10	1e5	1000	2	0.5	11
309	10	1e5	500	1	0.5	11
310	10	1e5	500	2	0.5	11
311	10	1e5	100	1	0.5	11
312	10	1e5	100	2	0.5	11
313	20	1e5	1000	1	0.5	11
314	20	1e5	1000	2	0.5	11
315	20	1e5	500	1	0.5	11
316	20	1e5	500	2	0.5	11
317	20	1e5	100	1	0.5	11
318	20	1e5	100	2	0.5	11
319	Coal	1e5	1000	1	0.5	11
320	Coal	1e5	1000	2	0.5	11
321	Coal	1e5	500	1	0.5	11
322	Coal	1e5	500	2	0.5	11
323	Coal	1e5	100	1	0.5	11
324	Coal	1e5	100	2	0.5	11
325	Recap	1e5	1000	1	0.5	11
326	Recap	1e5	1000	2	0.5	11
327	Recap	1e5	500	1	0.5	11
328	Recap	1e5	500	2	0.5	11
329	Recap	1e5	100	1	0.5	11
330	Recap	1e5	100	2	0.5	11
331	5	1e5	1000	1	0.5	12
332	5	1e5	1000	2	0.5	12
333	5	1e5	500	1	0.5	12
334	5	1e5	500	2	0.5	12
335	5	1e5	100	1	0.5	12
336	5	1e5	100	2	0.5	12
337	10	1e5	1000	1	0.5	12
338	10	1e5	1000	2	0.5	12
339	10	1e5	500	1	0.5	12
340	10	1e5	500	2	0.5	12
341	10	1e5	100	1	0.5	12
342	10	1e5	100	2	0.5	12
343	20	1e5	1000	1	0.5	12
344	20	1e5	1000	2	0.5	12
345	20	1e5	500	1	0.5	12
346	20	1e5	500	2	0.5	12
347	20	1e5	100	1	0.5	12
348	20	1e5	100	2	0.5	12
349	Coal	1e5	1000	1	0.5	12
350	Coal	1e5	1000	2	0.5	12
351	Coal	1e5	500	1	0.5	12
352	Coal	1e5	500	2	0.5	12
353	Coal	1e5	100	1	0.5	12
354	Coal	1e5	100	2	0.5	12
355	Recap	1e5	1000	1	0.5	12
356	Recap	1e5	1000	2	0.5	12
357	Recap	1e5	500	1	0.5	12
358	Recap	1e5	500	2	0.5	12
359	Recap	1e5	100	1	0.5	12
360	Recap	1e5	100	2	0.5	12
361	5	1e5	1000	1	0.5	13
362	5	1e5	1000	2	0.5	13
363	5	1e5	500	1	0.5	13
364	5	1e5	500	2	0.5	13
365	5	1e5	100	1	0.5	13
366	5	1e5	100	2	0.5	13
367	10	1e5	1000	1	0.5	13
368	10	1e5	1000	2	0.5	13
369	10	1e5	500	1	0.5	13
370	10	1e5	500	2	0.5	13
371	10	1e5	100	1	0.5	13
372	10	1e5	100	2	0.5	13
373	20	1e5	1000	1	0.5	13
374	20	1e5	1000	2	0.5	13
375	20	1e5	500	1	0.5	13
376	20	1e5	500	2	0.5	13
377	20	1e5	100	1	0.5	13
378	20	1e5	100	2	0.5	13
379	Coal	1e5	1000	1	0.5	13
380	Coal	1e5	1000	2	0.5	13
381	Coal	1e5	500	1	0.5	13
382	Coal	1e5	500	2	0.5	13
383	Coal	1e5	100	1	0.5	13
384	Coal	1e5	100	2	0.5	13
385	Recap	1e5	1000	1	0.5	13
386	Recap	1e5	1000	2	0.5	13
387	Recap	1e5	500	1	0.5	13
388	Recap	1e5	500	2	0.5	13
389	Recap	1e5	100	1	0.5	13
390	Recap	1e5	100	2	0.5	13
391	5	1e5	1000	1	0.5	14
392	5	1e5	1000	2	0.5	14
393	5	1e5	500	1	0.5	14
394	5	1e5	500	2	0.5	14
395	5	1e5	100	1	0.5	14
396	5	1e5	100	2	0.5	14
397	10	1e5	1000	1	0.5	14
398	10	1e5	1000	2	0.5	14
399	10	1e5	500	1	0.5	14
400	10	1e5	500	2	0.5	14
401	10	1e5	100	1	0.5	14
402	10	1e5	100	2	0.5	14
403	20	1e5	1000	1	0.5	14
404	20	1e5	1000	2	0.5	14
405	20	1e5	500	1	0.5	14
406	20	1e5	500	2	0.5	14
407	20	1e5	100	1	0.5	14
408	20	1e5	100	2	0.5	14
409	Coal	1e5	1000	1	0.5	14
410	Coal	1e5	1000	2	0.5	14
411	Coal	1e5	500	1	0.5	14
412	Coal	1e5	500	2	0.5	14
413	Coal	1e5	100	1	0.5	14
414	Coal	1e5	100	2	0.5	14
415	Recap	1e5	1000	1	0.5	14
416	Recap	1e5	1000	2	0.5	14
417	Recap	1e5	500	1	0.5	14
418	Recap	1e5	500	2	0.5	14
419	Recap	1e5	100	1	0.5	14
420	Recap	1e5	100	2	0.5	14
421	5	1e5	1000	1	0.5	15
422	5	1e5	1000	2	0.5	15
423	5	1e5	500	1	0.5	15
424	5	1e5	500	2	0.5	15
425	5	1e5	100	1	0.5	15
426	5	1e5	100	2	0.5	15
427	10	1e5	1000	1	0.5	15
428	10	1e5	1000	2	0.5	15
429	10	1e5	500	1	0.5	15
430	10	1e5	500	2	0.5	15
431	10	1e5	100	1	0.5	15
432	10	1e5	100	2	0.5	15
433	20	1e5	1000	1	0.5	15
434	20	1e5	1000	2	0.5	15
435	20	1e5	500	1	0.5	15
436	20	1e5	500	2	0.5	15
437	20	1e5	100	1	0.5	15
438	20	1e5	100	2	0.5	15
439	Coal	1e5	1000	1	0.5	15
440	Coal	1e5	1000	2	0.5	15
441	Coal	1e5	500	1	0.5	15
442	Coal	1e5	500	2	0.5	15
443	Coal	1e5	100	1	0.5	15
444	Coal	1e5	100	2	0.5	15
445	Recap	1e5	1000	1	0.5	15
446	Recap	1e5	1000	2	0.5	15
447	Recap	1e5	500	1	0.5	15
448	Recap	1e5	500	2	0.5	15
449	Recap	1e5	100	1	0.5	15
450	Recap	1e5	100	2	0.5	15
451	5	1e5	1000	1	0.5	16
452	5	1e5	1000	2	0.5	16
453	5	1e5	500	1	0.5	16
454	5	1e5	500	2	0.5	16
455	5	1e5	100	1	0.5	16
456	5	1e5	100	2	0.5	16
457	10	1e5	1000	1	0.5	16
458	10	1e5	1000	2	0.5	16
459	10	1e5	500	1	0.5	16
460	10	1e5	500	2	0.5	16
461	10	1e5	100	1	0.5	16
462	10	1e5	100	2	0.5	16
463	20	1e5	1000	1	0.5	16
464	20	1e5	1000	2	0.5	16
465	20	1e5	500	1	0.5	16
466	20	1e5	500	2	0.5	16
467	20	1e5	100	1	0.5	16
468	20	1e5	100	2	0.5	16
469	Coal	1e5	1000	1	0.5	16
470	Coal	1e5	1000	2	0.5	16
471	Coal	1e5	500	1	0.5	16
472	Coal	1e5	500	2	0.5	16
473	Coal	1e5	100	1	0.5	16
474	Coal	1e5	100	2	0.5	16
475	Recap	1e5	1000	1	0.5	16
476	Recap	1e5	1000	2	0.5	16
477	Recap	1e5	500	1	0.5	16
478	Recap	1e5	500	2	0.5	16
479	Recap	1e5	100	1	0.5	16
480	Recap	1e5	100	2	0.5	16
481	5	1e5	1000	1	0.5	17
482	5	1e5	1000	2	0.5	17
483	5	1e5	500	1	0.5	17
484	5	1e5	500	2	0.5	17
485	5	1e5	100	1	0.5	17
486	5	1e5	100	2	0.5	17
487	10	1e5	1000	1	0.5	17
488	10	1e5	1000	2	0.5	17
489	10	1e5	500	1	0.5	17
490	10	1e5	500	2	0.5	17
491	10	1e5	100	1	0.5	17
492	10	1e5	100	2	0.5	17
493	20	1e5	1000	1	0.5	17
494	20	1e5	1000	2	0.5	17
495	20	1e5	500	1	0.5	17
496	20	1e5	500	2	0.5	17
497	20	1e5	100	1	0.5	17
498	20	1e5	100	2	0.5	17
499	Coal	1e5	1000	1	0.5	17
500	Coal	1e5	1000	2	0.5	17
501	Coal	1e5	500	1	0.5	17
502	Coal	1e5	500	2	0.5	17
503	Coal	1e5	100	1	0.5	17
504	Coal	1e5	100	2	0.5	17
505	Recap	1e5	1000	1	0.5	17
506	Recap	1e5	1000	2	0.5	17
507	Recap	1e5	500	1	0.5	17
508	Recap	1e5	500	2	0.5	17
509	Recap	1e5	100	1	0.5	17
510	Recap	1e5	100	2	0.5	17
511	5	1e5	1000	1	0.5	18
512	5	1e5	1000	2	0.5	18
513	5	1e5	500	1	0.5	18
514	5	1e5	500	2	0.5	18
515	5	1e5	100	1	0.5	18
516	5	1e5	100	2	0.5	18
517	10	1e5	1000	1	0.5	18
518	10	1e5	1000	2	0.5	18
519	10	1e5	500	1	0.5	18
520	10	1e5	500	2	0.5	18
521	10	1e5	100	1	0.5	18
522	10	1e5	100	2	0.5	18
523	20	1e5	1000	1	0.5	18
524	20	1e5	1000	2	0.5	18
525	20	1e5	500	1	0.5	18
526	20	1e5	500	2	0.5	18
527	20	1e5	100	1	0.5	18
528	20	1e5	100	2	0.5	18
529	Coal	1e5	1000	1	0.5	18
530	Coal	1e5	1000	2	0.5	18
531	Coal	1e5	500	1	0.5	18
532	Coal	1e5	500	2	0.5	18
533	Coal	1e5	100	1	0.5	18
534	Coal	1e5	100	2	0.5	18
535	Recap	1e5	1000	1	0.5	18
536	Recap	1e5	1000	2	0.5	18
537	Recap	1e5	500	1	0.5	18
538	Recap	1e5	500	2	0.5	18
539	Recap	1e5	100	1	0.5	18
540	Recap	1e5	100	2	0.5	18
541	5	1e5	1000	1	0.5	19
542	5	1e5	1000	2	0.5	19
543	5	1e5	500	1	0.5	19
544	5	1e5	500	2	0.5	19
545	5	1e5	100	1	0.5	19
546	5	1e5	100	2	0.5	19
547	10	1e5	1000	1	0.5	19
548	10	1e5	1000	2	0.5	19
549	10	1e5	500	1	0.5	19
550	10	1e5	500	2	0.5	19
551	10	1e5	100	1	0.5	19
552	10	1e5	100	2	0.5	19
553	20	1e5	1000	1	0.5	19
554	20	1e5	1000	2	0.5	19
555	20	1e5	500	1	0.5	19
556	20	1e5	500	2	0.5	19
557	20	1e5	100	1	0.5	19
558	20	1e5	100	2	0.5	19
559	Coal	1e5	1000	1	0.5	19
560	Coal	1e5	1000	2	0.5	19
561	Coal	1e5	500	1	0.5	19
562	Coal	1e5	500	2	0.5	19
563	Coal	1e5	100	1	0.5	19
564	Coal	1e5	100	2	0.5	19
565	Recap	1e5	1000	1	0.5	19
566	Recap	1e5	1000	2	0.5	19
567	Recap	1e5	500	1	0.5	19
568	Recap	1e5	500	2	0.5	19
569	Recap	1e5	100	1	0.5	19
570	Recap	1e5	100	2	0.5	19
571	5	1e5	1000	1	0.5	20
572	5	1e5	1000	2	0.5	20
573	5	1e5	500	1	0.5	20
574	5	1e5	500	2	0.5	20
575	5	1e5	100	1	0.5	20
576	5	1e5	100	2	0.5	20
577	10	1e5	1000	1	0.5	20
578	10	1e5	1000	2	0.5	20
579	10	1e5	500	1	0.5	20
580	10	1e5	500	2	0.5	20
581	10	1e5	100	1	0.5	20
582	10	1e5	100	2	0.5	20
583	20	1e5	1000	1	0.5	20
584	20	1e5	1000	2	0.5	20
585	20	1e5	500	1	0.5	20
586	20	1e5	500	2	0.5	20
587	20	1e5	100	1	0.5	20
588	20	1e5	100	2	0.5	20
589	Coal	1e5	1000	1	0.5	20
590	Coal	1e5	1000	2	0.5	20
591	Coal	1e5	500	1	0.5	20
592	Coal	1e5	500	2	0.5	20
593	Coal	1e5	100	1	0.5	20
594	Coal	1e5	100	2	0.5	20
595	Recap	1e5	1000	1	0.5	20
596	Recap	1e5	1000	2	0.5	20
597	Recap	1e5	500	1	0.5	20
598	Recap	1e5	500	2	0.5	20
599	Recap	1e5	100	1	0.5	20
600	Recap	1e5	100	2	0.5	20
601	5	1e5	1000	1	0.5	21
602	5	1e5	1000	2	0.5	21
603	5	1e5	500	1	0.5	21
604	5	1e5	500	2	0.5	21
605	5	1e5	100	1	0.5	21
606	5	1e5	100	2	0.5	21
607	10	1e5	1000	1	0.5	21
608	10	1e5	1000	2	0.5	21
