ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
349	Coal	1e5	10	1	0.0	12
350	Coal	1e5	10	2	0.0	12
351	Coal	1e5	5	1	0.0	12
352	Coal	1e5	5	2	0.0	12
353	Coal	1e5	1	1	0.0	12
354	Coal	1e5	1	2	0.0	12
355	Recap	1e5	10	1	0.0	12
356	Recap	1e5	10	2	0.0	12
357	Recap	1e5	5	1	0.0	12
358	Recap	1e5	5	2	0.0	12
359	Recap	1e5	1	1	0.0	12
360	Recap	1e5	1	2	0.0	12
361	5	1e5	10	1	0.0	13
362	5	1e5	10	2	0.0	13
363	5	1e5	5	1	0.0	13
364	5	1e5	5	2	0.0	13
365	5	1e5	1	1	0.0	13
366	5	1e5	1	2	0.0	13
367	10	1e5	10	1	0.0	13
368	10	1e5	10	2	0.0	13
369	10	1e5	5	1	0.0	13
370	10	1e5	5	2	0.0	13
371	10	1e5	1	1	0.0	13
372	10	1e5	1	2	0.0	13
373	20	1e5	10	1	0.0	13
374	20	1e5	10	2	0.0	13
375	20	1e5	5	1	0.0	13
376	20	1e5	5	2	0.0	13
377	20	1e5	1	1	0.0	13
378	20	1e5	1	2	0.0	13
379	Coal	1e5	10	1	0.0	13
380	Coal	1e5	10	2	0.0	13
381	Coal	1e5	5	1	0.0	13
382	Coal	1e5	5	2	0.0	13
383	Coal	1e5	1	1	0.0	13
384	Coal	1e5	1	2	0.0	13
385	Recap	1e5	10	1	0.0	13
386	Recap	1e5	10	2	0.0	13
387	Recap	1e5	5	1	0.0	13
388	Recap	1e5	5	2	0.0	13
389	Recap	1e5	1	1	0.0	13
390	Recap	1e5	1	2	0.0	13
391	5	1e5	10	1	0.0	14
392	5	1e5	10	2	0.0	14
393	5	1e5	5	1	0.0	14
394	5	1e5	5	2	0.0	14
395	5	1e5	1	1	0.0	14
396	5	1e5	1	2	0.0	14
397	10	1e5	10	1	0.0	14
398	10	1e5	10	2	0.0	14
399	10	1e5	5	1	0.0	14
400	10	1e5	5	2	0.0	14
401	10	1e5	1	1	0.0	14
402	10	1e5	1	2	0.0	14
403	20	1e5	10	1	0.0	14
404	20	1e5	10	2	0.0	14
405	20	1e5	5	1	0.0	14
406	20	1e5	5	2	0.0	14
407	20	1e5	1	1	0.0	14
408	20	1e5	1	2	0.0	14
409	Coal	1e5	10	1	0.0	14
410	Coal	1e5	10	2	0.0	14
411	Coal	1e5	5	1	0.0	14
412	Coal	1e5	5	2	0.0	14
413	Coal	1e5	1	1	0.0	14
414	Coal	1e5	1	2	0.0	14
415	Recap	1e5	10	1	0.0	14
416	Recap	1e5	10	2	0.0	14
417	Recap	1e5	5	1	0.0	14
418	Recap	1e5	5	2	0.0	14
419	Recap	1e5	1	1	0.0	14
420	Recap	1e5	1	2	0.0	14
421	5	1e5	10	1	0.0	15
422	5	1e5	10	2	0.0	15
423	5	1e5	5	1	0.0	15
424	5	1e5	5	2	0.0	15
425	5	1e5	1	1	0.0	15
426	5	1e5	1	2	0.0	15
427	10	1e5	10	1	0.0	15
428	10	1e5	10	2	0.0	15
429	10	1e5	5	1	0.0	15
430	10	1e5	5	2	0.0	15
431	10	1e5	1	1	0.0	15
432	10	1e5	1	2	0.0	15
433	20	1e5	10	1	0.0	15
434	20	1e5	10	2	0.0	15
435	20	1e5	5	1	0.0	15
436	20	1e5	5	2	0.0	15
437	20	1e5	1	1	0.0	15
438	20	1e5	1	2	0.0	15
439	Coal	1e5	10	1	0.0	15
440	Coal	1e5	10	2	0.0	15
441	Coal	1e5	5	1	0.0	15
442	Coal	1e5	5	2	0.0	15
443	Coal	1e5	1	1	0.0	15
444	Coal	1e5	1	2	0.0	15
445	Recap	1e5	10	1	0.0	15
446	Recap	1e5	10	2	0.0	15
447	Recap	1e5	5	1	0.0	15
448	Recap	1e5	5	2	0.0	15
449	Recap	1e5	1	1	0.0	15
450	Recap	1e5	1	2	0.0	15
451	5	1e5	10	1	0.0	16
452	5	1e5	10	2	0.0	16
453	5	1e5	5	1	0.0	16
454	5	1e5	5	2	0.0	16
455	5	1e5	1	1	0.0	16
456	5	1e5	1	2	0.0	16
457	10	1e5	10	1	0.0	16
458	10	1e5	10	2	0.0	16
459	10	1e5	5	1	0.0	16
460	10	1e5	5	2	0.0	16
461	10	1e5	1	1	0.0	16
462	10	1e5	1	2	0.0	16
463	20	1e5	10	1	0.0	16
464	20	1e5	10	2	0.0	16
465	20	1e5	5	1	0.0	16
466	20	1e5	5	2	0.0	16
467	20	1e5	1	1	0.0	16
468	20	1e5	1	2	0.0	16
469	Coal	1e5	10	1	0.0	16
470	Coal	1e5	10	2	0.0	16
471	Coal	1e5	5	1	0.0	16
472	Coal	1e5	5	2	0.0	16
473	Coal	1e5	1	1	0.0	16
474	Coal	1e5	1	2	0.0	16
475	Recap	1e5	10	1	0.0	16
476	Recap	1e5	10	2	0.0	16
477	Recap	1e5	5	1	0.0	16
478	Recap	1e5	5	2	0.0	16
479	Recap	1e5	1	1	0.0	16
480	Recap	1e5	1	2	0.0	16
481	5	1e5	10	1	0.0	17
482	5	1e5	10	2	0.0	17
483	5	1e5	5	1	0.0	17
484	5	1e5	5	2	0.0	17
485	5	1e5	1	1	0.0	17
486	5	1e5	1	2	0.0	17
487	10	1e5	10	1	0.0	17
488	10	1e5	10	2	0.0	17
489	10	1e5	5	1	0.0	17
490	10	1e5	5	2	0.0	17
491	10	1e5	1	1	0.0	17
492	10	1e5	1	2	0.0	17
493	20	1e5	10	1	0.0	17
494	20	1e5	10	2	0.0	17
495	20	1e5	5	1	0.0	17
496	20	1e5	5	2	0.0	17
497	20	1e5	1	1	0.0	17
498	20	1e5	1	2	0.0	17
499	Coal	1e5	10	1	0.0	17
500	Coal	1e5	10	2	0.0	17
501	Coal	1e5	5	1	0.0	17
502	Coal	1e5	5	2	0.0	17
503	Coal	1e5	1	1	0.0	17
504	Coal	1e5	1	2	0.0	17
505	Recap	1e5	10	1	0.0	17
506	Recap	1e5	10	2	0.0	17
507	Recap	1e5	5	1	0.0	17
508	Recap	1e5	5	2	0.0	17
509	Recap	1e5	1	1	0.0	17
510	Recap	1e5	1	2	0.0	17
511	5	1e5	10	1	0.0	18
512	5	1e5	10	2	0.0	18
513	5	1e5	5	1	0.0	18
514	5	1e5	5	2	0.0	18
515	5	1e5	1	1	0.0	18
516	5	1e5	1	2	0.0	18
517	10	1e5	10	1	0.0	18
518	10	1e5	10	2	0.0	18
519	10	1e5	5	1	0.0	18
520	10	1e5	5	2	0.0	18
521	10	1e5	1	1	0.0	18
522	10	1e5	1	2	0.0	18
523	20	1e5	10	1	0.0	18
524	20	1e5	10	2	0.0	18
525	20	1e5	5	1	0.0	18
526	20	1e5	5	2	0.0	18
527	20	1e5	1	1	0.0	18
528	20	1e5	1	2	0.0	18
529	Coal	1e5	10	1	0.0	18
530	Coal	1e5	10	2	0.0	18
531	Coal	1e5	5	1	0.0	18
532	Coal	1e5	5	2	0.0	18
533	Coal	1e5	1	1	0.0	18
534	Coal	1e5	1	2	0.0	18
535	Recap	1e5	10	1	0.0	18
536	Recap	1e5	10	2	0.0	18
537	Recap	1e5	5	1	0.0	18
538	Recap	1e5	5	2	0.0	18
539	Recap	1e5	1	1	0.0	18
540	Recap	1e5	1	2	0.0	18
541	5	1e5	10	1	0.0	19
542	5	1e5	10	2	0.0	19
543	5	1e5	5	1	0.0	19
544	5	1e5	5	2	0.0	19
545	5	1e5	1	1	0.0	19
546	5	1e5	1	2	0.0	19
547	10	1e5	10	1	0.0	19
548	10	1e5	10	2	0.0	19
549	10	1e5	5	1	0.0	19
550	10	1e5	5	2	0.0	19
551	10	1e5	1	1	0.0	19
552	10	1e5	1	2	0.0	19
553	20	1e5	10	1	0.0	19
554	20	1e5	10	2	0.0	19
